gameid	Trial	condition	TrialType	ControlType	ItemID	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	DistractorsNoun	DistractorsRedProp	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered
djHqEEgoKbR5rJxgT	2	size_basic_target_f	target	undefined	spoon_sock	small_green_sock	color	minimal	color	size	3	1	no_extras	no_extras	green sock	NA	green sock	1	0	sock	small	green	TRUE	FALSE	TRUE	FALSE	FALSE	small_black_sock	big_green_spoon	big_black_sock	NA	NA	small_green_sock,small_green_sock,small_black_sock,big_green_spoon,big_black_sock	small_green_sock,small_green_sock,big_green_spoon,big_black_sock,small_black_sock
djHqEEgoKbR5rJxgT	3	size_basic_target_m	target	undefined	die_microscope	small_black_microscope	size and color	redundant	color	size	3	1	no_extras	no_extras	small black microscope	NA	small black microscope	0	1	microscope	small	black	TRUE	TRUE	TRUE	FALSE	FALSE	small_purple_microscope	big_black_die	big_purple_microscope	NA	NA	big_black_die,big_black_die,big_purple_microscope,small_purple_microscope,small_black_microscope	big_black_die,big_black_die,small_black_microscope,small_purple_microscope,big_purple_microscope
djHqEEgoKbR5rJxgT	4	size_same_same_m	target	undefined	mask_balloon	big_blue_balloon	color	minimal	color	size	5	3	same	same	blue balloon	NA	blue balloon	1	0	balloon	big	blue	TRUE	FALSE	TRUE	FALSE	FALSE	big_yellow_balloon	small_blue_mask	small_yellow_balloon	big_yellow_balloon	big_yellow_balloon	big_blue_balloon,big_blue_balloon,big_yellow_balloon,big_yellow_balloon,small_yellow_balloon,big_yellow_balloon,small_blue_mask	big_yellow_balloon,big_yellow_balloon,big_yellow_balloon,big_blue_balloon,small_blue_mask,small_yellow_balloon,big_yellow_balloon
djHqEEgoKbR5rJxgT	5	size_basic_filler_3_m	control	size_redundant	piano_robot	small_green_robot	size and color	redundant	color	size	3	1	no_extras	no_extras	small green robots	NA	small green robots	0	1	robot	small	green	TRUE	TRUE	TRUE	FALSE	FALSE	big_purple_robot	big_green_robot	small_purple_piano	NA	NA	big_green_robot,big_green_robot,big_purple_robot,small_green_robot,small_purple_piano	big_purple_robot,big_purple_robot,big_green_robot,small_green_robot,small_purple_piano
djHqEEgoKbR5rJxgT	8	color_basic_filler_1_m	control	both_necessary	rug_bike	small_red_bike	size and color	redundant	size	color	3	1	no_extras	no_extras	small red bike	NA	small red bike	0	1	bike	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_red_bike	big_white_rug	small_white_bike	NA	NA	big_white_rug,big_white_rug,small_white_bike,big_red_bike,small_red_bike	big_red_bike,big_red_bike,small_white_bike,small_red_bike,big_white_rug
djHqEEgoKbR5rJxgT	9	color_diff_diff_f	target	undefined	tent_remote	small_green_remote	size and color	redundant	size	color	5	1	diff	diff	small green remote	NA	small green remote	0	1	remote	small	green	TRUE	TRUE	TRUE	FALSE	FALSE	big_green_remote	small_orange_tent	big_orange_remote	big_orange_tent	big_orange_tent	big_green_remote,big_green_remote,small_orange_tent,big_orange_remote,small_green_remote,big_orange_tent,big_orange_tent	big_orange_remote,big_orange_remote,big_green_remote,small_green_remote,small_orange_tent,big_orange_tent,big_orange_tent
djHqEEgoKbR5rJxgT	10	color_diff_diff_m	target	undefined	calendar_truck	big_black_truck	size and color	redundant	size	color	5	1	diff	diff	large black lorry	NA	large black lorry	0	1	truck	big	black	TRUE	TRUE	TRUE	FALSE	FALSE	small_black_truck	big_purple_calendar	small_purple_truck	small_purple_calendar	small_purple_calendar	small_purple_truck,small_purple_truck,small_purple_calendar,small_purple_calendar,big_black_truck,small_black_truck,big_purple_calendar	small_purple_calendar,small_purple_calendar,small_black_truck,small_purple_truck,big_black_truck,small_purple_calendar,big_purple_calendar
djHqEEgoKbR5rJxgT	11	size_same_same_f	target	undefined	key_billiardball	small_white_billiardball	color	minimal	color	size	5	3	same	same	white ball	NA	white ball	1	0	billiardball	small	white	TRUE	FALSE	TRUE	FALSE	FALSE	small_red_billiardball	big_white_key	big_red_billiardball	small_red_billiardball	small_red_billiardball	small_red_billiardball,small_red_billiardball,big_red_billiardball,big_white_key,small_white_billiardball,small_red_billiardball,small_red_billiardball	small_red_billiardball,small_red_billiardball,small_red_billiardball,big_white_key,small_red_billiardball,big_red_billiardball,small_white_billiardball
djHqEEgoKbR5rJxgT	12	color_basic_target_m	target	undefined	knife_vase	small_green_vase	size	minimal	size	color	3	1	no_extras	no_extras	smallest vase	NA	smallest vase	1	0	vase	small	green	FALSE	TRUE	TRUE	FALSE	FALSE	big_green_vase	small_purple_knife	big_purple_vase	NA	NA	small_purple_knife,small_purple_knife,small_green_vase,big_purple_vase,big_green_vase	small_green_vase,small_green_vase,small_purple_knife,big_green_vase,big_purple_vase
djHqEEgoKbR5rJxgT	13	color_same_same_f	target	undefined	clock_candle	small_blue_candle	size and color	redundant	size	color	5	3	same	same	small blue candle	NA	small blue candle	0	1	candle	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_candle	small_white_clock	big_white_candle	big_blue_candle	big_blue_candle	small_blue_candle,small_blue_candle,big_blue_candle,big_white_candle,big_blue_candle,big_blue_candle,small_white_clock	big_blue_candle,big_blue_candle,big_white_candle,small_blue_candle,small_white_clock,big_blue_candle,big_blue_candle
