gameId	language	condition	roundNumber	nameClickedObj	correct	words	target	colorMentioned	nounMentioned	clickedColor	clickedType	otherMethod	noun_mentioned	color_mentioned
JEkdTgN6tsALip8pB	English	scene3	1	blue_door	1	N	door	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene4	2	green_bowl	1	CN	bowl	1	1	green		0	1	1
JEkdTgN6tsALip8pB	English	scene3	3	blue_scarf	1	N	scarf	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene3	4	purple_slipper	1	CN	slipper	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene3	5	blue_dress	1	CN	dress	1	1	blue		0	1	1
JEkdTgN6tsALip8pB	English	scene1	6	purple_helicopter	1	CN	helicopter	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene2	7	green_luggage	1	CN	luggage	1	1	green		0	1	1
JEkdTgN6tsALip8pB	English	scene4	8	black_microscope	1	CN	microscope	1	1	black		0	1	1
JEkdTgN6tsALip8pB	English	scene1	12	yellow_flower	1	CN	flower	1	1	yellow		0	1	1
JEkdTgN6tsALip8pB	English	scene3	13	purple_truck	1	N	truck	0	1	purple		0	1	0
JEkdTgN6tsALip8pB	English	scene1	14	purple_glove	1	CN	glove	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene1	16	orange_knife	1	CN	knife	1	1	orange		0	1	1
JEkdTgN6tsALip8pB	English	scene1	19	yellow_chair	1	CN	chair	1	1	yellow		0	1	1
JEkdTgN6tsALip8pB	English	scene1	20	purple_robot	1	CN	robot	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene4	21	white_ring	1	CN	ring	1	1	white		0	1	1
JEkdTgN6tsALip8pB	English	scene4	23	blue_pencil	1	CN	pencil	1	1	blue		0	1	1
JEkdTgN6tsALip8pB	English	scene2	24	blue_guitar	1	N	guitar	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene4	25	blue_cushion	1	CN	cushion	1	1	blue		0	1	1
JEkdTgN6tsALip8pB	English	scene1	28	black_tie	1	CN	tie	1	1	black		0	1	1
JEkdTgN6tsALip8pB	English	scene3	29	orange_ribbon	1	N	ribbon	0	1	orange		0	1	0
JEkdTgN6tsALip8pB	English	scene2	31	white_mug	1	N	mug	0	1	white		0	1	0
JEkdTgN6tsALip8pB	English	scene3	32	green_hammer	1	N	hammer	0	1	green		0	1	0
JEkdTgN6tsALip8pB	English	scene3	34	red_calculator	1	N	calculator	0	1	red		0	1	0
JEkdTgN6tsALip8pB	English	scene1	35	yellow_fence	1	CN	fence	1	1	yellow		0	1	1
JEkdTgN6tsALip8pB	English	scene1	37	purple_fork	1	CN	fork	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene4	38	purple_sock	1	CN	sock	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene1	39	red_bed	1	CN	bed	1	1	red		0	1	1
JEkdTgN6tsALip8pB	English	scene2	40	white_balloon	1	N	balloon	0	1	white		0	1	0
JEkdTgN6tsALip8pB	English	scene1	43	red_iron	1	CN	iron	1	1	red		0	1	1
JEkdTgN6tsALip8pB	English	scene4	45	purple_binoculars	1	CN	binoculars	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene3	46	orange_necklace	1	CN	necklace	1	1	orange		0	1	1
JEkdTgN6tsALip8pB	English	scene3	47	green_calendar	1	N	calendar	0	1	green		0	1	0
JEkdTgN6tsALip8pB	English	scene4	49	red_candle	1	CN	candle	1	1	red		0	1	1
JEkdTgN6tsALip8pB	English	scene2	51	black_die	1	N	die	0	1	black		0	1	0
JEkdTgN6tsALip8pB	English	scene2	52	purple_lock	1	N	lock	0	1	purple		0	1	0
JEkdTgN6tsALip8pB	English	scene2	54	blue_butterfly	1	N	butterfly	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene2	55	black_fish	1	N	fish	0	1	black		0	1	0
JEkdTgN6tsALip8pB	English	scene4	56	purple_drum	1	CN	drum	1	1	purple		0	1	1
JEkdTgN6tsALip8pB	English	scene4	57	red_book	1	CN	book	1	1	red		0	1	1
JEkdTgN6tsALip8pB	English	scene2	60	orange_screwdriver	1	N	screwdriver	0	1	orange		0	1	0
JEkdTgN6tsALip8pB	English	scene3	62	blue_belt	1	N	belt	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene2	64	white_phone	1	N	phone	0	1	white		0	1	0
JEkdTgN6tsALip8pB	English	scene2	65	orange_basket	1	N	basket	0	1	orange		0	1	0
JEkdTgN6tsALip8pB	English	scene4	66	green_shell	1	CN	shell	1	1	green		0	1	1
JEkdTgN6tsALip8pB	English	scene3	67	blue_crown	1	N	crown	0	1	blue		0	1	0
JEkdTgN6tsALip8pB	English	scene2	68	red_mask	1	N	mask	0	1	red		0	1	0
