gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender	target
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	3	purple item not tie	purple item not tie	NA	purple_ribbon	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	ribbon
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	4	yellow not candle	yellow not candle	NA	yellow_scarf	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	scarf
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	8	white item not comb	white item not comb	NA	white_phone	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	phone
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	9	green not robot	green not robot	NA	green_die	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	die
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	13	orange not bowl	orange not bowl	NA	orange_truck	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	truck
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	16	green not fish	green not fish	NA	green_sock	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	sock
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	17	green not helicopter	green not helicopter	NA	green_fish	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	fish
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	18	red not candle	red not candle	NA	red_mug	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	mug
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	19	black not shoe	black not shoe	NA	black_drum	1	CO	NA	TRUE	FALSE	FALSE	FALSE	TRUE	NA	drum
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	21	purple not basket	purple not basket	NA	purple_bowl	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	bowl
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	22	yellow not ring	yellow not ring	NA	yellow_butterfly	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	butterfly
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	23	green item not truck	green item not truck	NA	green_knife	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	knife
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	24	white item not ring	white item not ring	NA	white_door	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	door
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	25	black item not die	black item not die	NA	black_shell	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	shell
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	26	purple item not ribbon	purple item not ribbon	NA	purple_microscope	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	microscope
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	27	green not hammer	green not hammer	NA	green_helicopter	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	helicopter
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	28	orange not shell	orange not shell	NA	orange_calendar	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	calendar
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	30	white not cushion	white not cushion	NA	white_balloon	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	balloon
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	31	purple not microscope	purple not microscope	NA	purple_luggage	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	luggage
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	32	purple not glove	purple not glove	NA	purple_slipper	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	slipper
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	34	green not calendar	green not calendar	NA	green_robot	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	robot
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	35	blue not dress	blue not dress	NA	blue_fence	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	fence
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	38	yellow not pencil	yellow not pencil	NA	yellow_calculator	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	calculator
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	40	orange item not suitcase	orange item not suitcase	NA	orange_tie	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	tie
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	41	yellow not belt	yellow not belt	NA	yellow_flower	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	flower
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	43	green not fork	green not fork	NA	green_necklace	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	necklace
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	46	green not drum	green not drum	NA	green_screwdriver	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	screwdriver
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	47	orange not necklace	orange not necklace	NA	orange_binoculars	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	binoculars
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	48	red not door	red not door	NA	red_ring	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	ring
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	49	red not cushion	red not cushion	NA	red_crown	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	crown
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	50	whitw not calculator	whitw not calculator	NA	white_pencil	1	CO	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	pencil
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	51	orange not lock	orange not lock	NA	orange_fork	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	fork
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	53	black item not screwdriver	black item not screwdriver	NA	black_glove	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	glove
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	56	orange item not sock	orange item not sock	NA	orange_hammer	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	hammer
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	57	blue item not pencil	blue item not pencil	NA	blue_mask	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	mask
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	58	red not calculater	red not calculater	NA	red_bed	1	CO	NA	TRUE	FALSE	FALSE	FALSE	TRUE	NA	bed
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	59	yellow not scarf	yellow not scarf	NA	yellow_wallet	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	wallet
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	61	red not book	red not book	NA	red_guitar	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	guitar
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	62	white not dress	white not dress	NA	white_comb	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	comb
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	64	white not scarf	white not scarf	NA	white_candle	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	candle
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	65	red not door	red not door	NA	red_iron	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	iron
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	66	white not belt	white not belt	NA	white_book	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	book
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	67	red not comb	red not comb	NA	red_dress	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	dress
Xg4TYATBTCC5Qs2rL	English	feedback	scene1	NA	NA	NA	NA	1	68	blue not crown	blue not crown	NA	blue_chair	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	chair
Xg4TYATBTCC5Qs2rL	English	feedback	scene2	NA	NA	NA	NA	1	69	purple not binoculars	purple not binoculars	NA	purple_lock	1	CO	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	lock
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	70	orange not knnife	orange not knnife	NA	orange_basket	1	CO	NA	TRUE	FALSE	FALSE	FALSE	TRUE	NA	basket
Xg4TYATBTCC5Qs2rL	English	feedback	scene3	NA	NA	NA	NA	1	71	yellow not book	yellow not book	NA	yellow_belt	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	belt
Xg4TYATBTCC5Qs2rL	English	feedback	scene4	NA	NA	NA	NA	1	72	white not crown	white not crown	NA	white_cushion	1	CO	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	cushion
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	1	fence	fence	NA	blue_fence	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	fence
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	2	not calendar	not calendar	NA	black_shell	1	O	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	shell
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	3	orange calendar	orange calendar	NA	orange_calendar	1	CN	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	calendar
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	4	not bow	not bow	NA	black_microscope	1	O	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	microscope
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	6	belt	belt	NA	yellow_belt	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	belt
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	7	calculator	calculator	NA	red_calculator	1	N	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	calculator
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	8	sock	sock	NA	orange_sock	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	sock
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	9	red guitar	red guitar	NA	red_guitar	1	CN	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	guitar
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	10	yellow cushion	yellow cushion	NA	yellow_cushion	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	cushion
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	14	fork	fork	NA	orange_fork	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	fork
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	15	robot	robot	NA	purple_robot	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	robot
82aQfrqTW7x3Ej6En	English	feedback	scene1	NA	NA	NA	NA	1	16	purple fish	purple fish	NA	purple_fish	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	fish
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	17	drum	drum	NA	black_drum	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	drum
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	19	yellow book	yellow book	NA	yellow_book	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	book
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	20	scarf	scarf	NA	yellow_scarf	1	N	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	scarf
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	21	gold ring	gold ring	NA	yellow_ring	1	CN	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	ring
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	23	chair	chair	NA	red_chair	1	N	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	chair
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	24	purple bow	purple bow	NA	purple_ribbon	1	CN	NA	TRUE	FALSE	TRUE	FALSE	FALSE	NA	ribbon
82aQfrqTW7x3Ej6En	English	feedback	scene3	NA	NA	NA	NA	1	25	binoculars	binoculars	NA	green_binoculars	1	N	NA	FALSE	FALSE	TRUE	FALSE	TRUE	NA	binoculars
82aQfrqTW7x3Ej6En	English	feedback	scene1	NA	NA	NA	NA	1	27	hi__purple screwdriver	hi	hi__:)	purple_screwdriver	1	CN	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA	screwdriver
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	28	tie	tie	NA	purple_tie	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	tie
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	29	glove	glove	NA	purple_glove	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	glove
82aQfrqTW7x3Ej6En	English	feedback	scene1	NA	NA	NA	NA	1	30	green basket	green basket	NA	green_basket	1	CN	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	basket
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	33	knife	knife	NA	green_knife	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	knife
82aQfrqTW7x3Ej6En	English	feedback	scene4	NA	NA	NA	NA	1	37	green beads	green beads	NA	green_necklace	1	CN	NA	TRUE	FALSE	FALSE	FALSE	TRUE	NA	necklace
82aQfrqTW7x3Ej6En	English	feedback	scene1	NA	NA	NA	NA	1	38	black die	black die	NA	black_die	1	CN	NA	TRUE	FALSE	TRUE	FALSE	TRUE	NA	die
82aQfrqTW7x3Ej6En	English	feedback	scene2	NA	NA	NA	NA	1	40	helicopter	helicopter	NA	purple_helicopter	1	N	NA	FALSE	FALSE	TRUE	FALSE	FALSE	NA	helicopter
82aQfrqTW7x3Ej6En	English	feedback	scene1	NA	NA	NA	NA	1	41	nearly there__padlock__no - sorry!	nearly there	phew__? gold	purple_lock	0	N	NA	FALSE	FALSE	FALSE	FALSE	TRUE	NA	lock
