gameId	language	stage	condition	imageType	listenerSelection	roundNumber	itemID	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
hKrHZbavxiMxqk73Z	English_32	feedback	color_diff_same_f	NA	1	1	fork_sock	small green sock	small green sock		small_green_sock	big_green_sock	small_orange_fork	big_orange_sock	big_green_fork	big_green_fork	big_green_fork,big_orange_sock,small_green_sock,big_green_sock,small_orange_fork,big_green_fork	big_green_fork,small_orange_fork,small_green_sock,big_green_sock,big_green_fork,big_orange_sock	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	size_basic_target_f	NA	1	2	pan_magnifyingglass	small yellow magnifying glass	small yellow magnifyingglass		small_yellow_magnifyingglass	small_white_magnifyingglass	big_yellow_pan	big_white_magnifyingglass	NA	NA	small_white_magnifyingglass,big_yellow_pan,small_yellow_magnifyingglass,big_white_magnifyingglass	small_white_magnifyingglass,big_yellow_pan,small_yellow_magnifyingglass,big_white_magnifyingglass	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	color_diff_diff_m	NA	1	3	bed_coathanger	big white hanger	big white hanger		big_white_coathanger	small_white_coathanger	big_yellow_bed	small_yellow_coathanger	small_yellow_bed	small_yellow_bed	big_white_coathanger,small_yellow_coathanger,big_yellow_bed,small_white_coathanger,small_yellow_bed,small_yellow_bed	big_white_coathanger,small_yellow_bed,small_white_coathanger,big_yellow_bed,small_yellow_coathanger,small_yellow_bed	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	color_diff_diff_f	NA	1	4	remote_spoon	small orange spoon	small orange spoon		small_orange_spoon	big_orange_spoon	small_purple_remote	big_purple_spoon	big_purple_remote	big_purple_remote	big_purple_remote,big_purple_spoon,small_orange_spoon,big_purple_remote,small_purple_remote,big_orange_spoon	big_purple_remote,big_purple_spoon,small_purple_remote,big_orange_spoon,big_purple_remote,small_orange_spoon	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	size_basic_filler_1_m	NA	1	5	pencil_rug	big yellow rug__thanks!	big yellow rug	great job so far :d	big_yellow_rug	big_white_rug	small_white_pencil	small_yellow_rug	NA	NA	big_yellow_rug,small_yellow_rug,big_white_rug,small_white_pencil	big_white_rug,small_white_pencil,big_yellow_rug,small_yellow_rug	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	FALSE
hKrHZbavxiMxqk73Z	English_32	feedback	color_basic_filler_2_m	NA	1	6	microscope_drum	small green drum	small green drum		small_green_drum	small_orange_microscope	big_orange_microscope	big_green_microscope	NA	NA	small_green_drum,small_orange_microscope,big_green_microscope,big_orange_microscope	big_orange_microscope,small_orange_microscope,small_green_drum,big_green_microscope	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	size_basic_target_m	NA	1	7	frame_balloon	small red balloon	small red balloon		small_red_balloon	small_yellow_balloon	big_red_frame	big_yellow_balloon	NA	NA	big_yellow_balloon,small_red_balloon,small_yellow_balloon,big_red_frame	big_red_frame,small_yellow_balloon,small_red_balloon,big_yellow_balloon	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	color_same_diff_f	NA	1	8	ornament_scarf	small blue scarf	small blue scarf		small_blue_scarf	big_blue_scarf	small_white_ornament	big_white_scarf	big_white_scarf	big_white_scarf	big_blue_scarf,big_white_scarf,small_blue_scarf,big_white_scarf,big_white_scarf,small_white_ornament	small_white_ornament,big_blue_scarf,big_white_scarf,big_white_scarf,big_white_scarf,small_blue_scarf	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	size_diff_diff_m	NA	1	9	lock_cake	big orange cake	big orange cake		big_orange_cake	big_green_cake	small_orange_lock	small_green_cake	small_green_lock	small_green_lock	small_green_lock,big_orange_cake,small_orange_lock,big_green_cake,small_green_lock,small_green_cake	small_green_lock,small_green_cake,small_orange_lock,small_green_lock,big_green_cake,big_orange_cake	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
hKrHZbavxiMxqk73Z	English_32	feedback	size_basic_filler_3_f	NA	1	10	key_mouse	small red mouse	small red mouse		small_red_mouse	big_yellow_mouse	big_red_mouse	small_yellow_key	NA	NA	big_red_mouse,big_yellow_mouse,small_red_mouse,small_yellow_key	big_yellow_mouse,small_red_mouse,big_red_mouse,small_yellow_key	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
