gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
Dummy1	3	small_black_book	size	minimal	size	color redundant	3	2	0.3333333333333333	asghar wa7id	NA	asghar wa7id	1	0	book	small	black	FALSE	TRUE	FALSE	FALSE	FALSE
Dummy1	5	small_blue_guitar	size and color	redundant	size	color redundant	2	2	0	asghar wa7id	NA	asghar wa7id	0	1	guitar	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	11	small_purple_bike	size	minimal	size	color redundant	4	1	0.75	saghir	NA	saghir	1	0	bike	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE
Dummy1	13	big_purple_flower	size and color	redundant	color	size redundant	4	2	0.5	banafsaji	NA	banafsaji	0	1	flower	big	purple	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	15	big_orange_cap	size	minimal	size	color redundant	2	1	0.5	kabira	NA	kabira	1	0	cap	big	orange	FALSE	TRUE	FALSE	FALSE	FALSE
Dummy1	18	small_blue_scarf	size and color	redundant	color	size redundant	4	4	0	azraq	NA	azraq	0	1	scarf	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	20	big_red_bellpepper	color	minimal	color	size redundant	3	1	0.6666666666666666	2a7mar	NA	2a7mar	1	0	bellpepper	big	red	TRUE	FALSE	FALSE	FALSE	FALSE
Dummy1	31	small_brown_belt	size and color	redundant	size	color redundant	4	2	0.5	saghir	NA	saghir	0	1	belt	small	brown	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	32	small_purple_butterfly	size and color	redundant	size	color redundant	4	3	0.25	saghir	NA	saghir	0	1	butterfly	small	purple	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	43	big_blue_cushion	color	minimal	color	size redundant	4	1	0.75	azrak	NA	azrak	1	0	cushion	big	blue	TRUE	FALSE	FALSE	FALSE	FALSE
Dummy1	44	big_red_tack	color	minimal	color	size redundant	2	1	0.5	ahmar	NA	ahmar	1	0	tack	big	red	TRUE	FALSE	FALSE	FALSE	FALSE
Dummy1	45	big_pink_bucket	size	minimal	size	color redundant	3	3	0	kabir	NA	kabir	1	0	bucket	big	pink	FALSE	TRUE	FALSE	FALSE	FALSE
Dummy1	48	big_yellow_napkin	size and color	redundant	size	color redundant	3	1	0.6666666666666666	asfar kabir	NA	asfar kabir	0	1	napkin	big	yellow	TRUE	TRUE	FALSE	FALSE	FALSE
Dummy1	8	small_red_stapler	color	minimal	color	size redundant	4	2	0.5	المكبس الأحمر	?	المكبس الأحمر	1	0	stapler	small	red	TRUE	FALSE	FALSE	FALSE	TRUE
