gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
35NAyGqMuuhEiwwsu	3	small_black_book	size	minimal	size	color redundant	3	2	0.3333333333333333	asghar wa7id	NA	asghar wa7id	1	0	book	small	black	FALSE	TRUE	FALSE	TRUE	FALSE
35NAyGqMuuhEiwwsu	5	small_blue_guitar	size	minimal	size	color redundant	2	2	0	asghar wa7id	NA	asghar wa7id	1	0	guitar	small	blue	FALSE	TRUE	FALSE	TRUE	FALSE
35NAyGqMuuhEiwwsu	7	small_orange_pingpongball	size	minimal	size	color redundant	4	2	0.5	saghir	NA	saghir	1	0	pingpongball	small	orange	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	8	small_yellow_shoe	color	minimal	color	size redundant	2	2	0	asfar	NA	asfar	1	0	shoe	small	yellow	TRUE	FALSE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	11	small_purple_bike	size	minimal	size	color redundant	4	1	0.75	saghir	NA	saghir	1	0	bike	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	13	big_purple_flower	color	minimal	color	size redundant	4	2	0.5	banafsaji	NA	banafsaji	1	0	flower	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	15	big_orange_cap	size	minimal	size	color redundant	2	1	0.5	kabira	NA	kabira	1	0	cap	big	orange	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	20	big_red_bellpepper	color	minimal	color	size redundant	3	1	0.6666666666666666	2a7mar	NA	2a7mar	1	0	bellpepper	big	red	TRUE	FALSE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	24	big_white_teacup	color	minimal	color	size redundant	3	3	0	abyad	NA	abyad	1	0	teacup	big	white	TRUE	FALSE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	25	small_pink_framee	size and color	redundant	color	size redundant	4	1	0.75	saghir zahr	NA	saghir zahr	0	1	framee	small	pink	TRUE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	28	big_red_yarn	size and color	redundant	size	color redundant	4	1	0.75	2a7mar kabir	NA	2a7mar kabir	0	1	yarn	big	red	TRUE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	31	small_brown_belt	size	minimal	size	color redundant	4	2	0.5	saghir	NA	saghir	1	0	belt	small	brown	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	32	small_purple_butterfly	size	minimal	size	color redundant	4	3	0.25	saghir	NA	saghir	1	0	butterfly	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	40	small_blue_rug	size	minimal	size	color redundant	3	2	0.3333333333333333	saghir	NA	saghir	1	0	rug	small	blue	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	44	big_red_tack	color	minimal	color	size redundant	2	1	0.5	ahmar	NA	ahmar	1	0	tack	big	red	TRUE	FALSE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	45	big_pink_bucket	size	minimal	size	color redundant	3	3	0	kabir	NA	kabir	1	0	bucket	big	pink	FALSE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	48	big_yellow_napkin	size and color	redundant	size	color redundant	3	1	0.6666666666666666	asfar kabir	NA	asfar kabir	0	1	napkin	big	yellow	TRUE	TRUE	FALSE	FALSE	FALSE
35NAyGqMuuhEiwwsu	49	small_green_jacket	size and color	redundant	color	size redundant	4	3	0.25	akhdar saghir	NA	akhdar saghir	0	1	jacket	small	green	TRUE	TRUE	FALSE	FALSE	FALSE
