gameId	language	stage	condition	imageType	listenerSelection	roundNumber	ItemID	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
djHqEEgoKbR5rJxgT	English_32	feedback	color_basic_filler_2_m	NA	1	1	bonbon_lock	padlock	padlock		small_purple_lock	small_black_bonbon	big_black_bonbon	big_purple_bonbon	NA	NA	big_black_bonbon,big_black_bonbon,big_purple_bonbon,small_black_bonbon,small_purple_lock	small_black_bonbon,small_black_bonbon,small_purple_lock,big_purple_bonbon,big_black_bonbon	1	N		FALSE	FALSE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	size_basic_target_f	NA	1	2	spoon_sock	green sock	green sock		small_green_sock	small_black_sock	big_green_spoon	big_black_sock	NA	NA	small_green_sock,small_green_sock,small_black_sock,big_green_spoon,big_black_sock	small_green_sock,small_green_sock,big_green_spoon,big_black_sock,small_black_sock	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	TRUE	FALSE
djHqEEgoKbR5rJxgT	English_32	feedback	size_basic_target_m	NA	1	3	die_microscope	small black microscope	small black microscope		small_black_microscope	small_purple_microscope	big_black_die	big_purple_microscope	NA	NA	big_black_die,big_black_die,big_purple_microscope,small_purple_microscope,small_black_microscope	big_black_die,big_black_die,small_black_microscope,small_purple_microscope,big_purple_microscope	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	size_same_same_m	NA	1	4	mask_balloon	blue balloon	blue balloon		big_blue_balloon	big_yellow_balloon	small_blue_mask	small_yellow_balloon	big_yellow_balloon	big_yellow_balloon	big_blue_balloon,big_blue_balloon,big_yellow_balloon,big_yellow_balloon,small_yellow_balloon,big_yellow_balloon,small_blue_mask	big_yellow_balloon,big_yellow_balloon,big_yellow_balloon,big_blue_balloon,small_blue_mask,small_yellow_balloon,big_yellow_balloon	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	size_basic_filler_3_m	NA	1	5	piano_robot	small green robots	small green robots		small_green_robot	big_purple_robot	big_green_robot	small_purple_piano	NA	NA	big_green_robot,big_green_robot,big_purple_robot,small_green_robot,small_purple_piano	big_purple_robot,big_purple_robot,big_green_robot,small_green_robot,small_purple_piano	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	color_basic_filler_3_f	NA	1	6	flower_dress	yellow dress	yellow dress		small_yellow_dress	big_white_dress	small_white_dress	big_yellow_flower	NA	NA	big_white_dress,big_white_dress,small_white_dress,small_yellow_dress,big_yellow_flower	small_white_dress,small_white_dress,small_yellow_dress,big_yellow_flower,big_white_dress	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	TRUE	FALSE
djHqEEgoKbR5rJxgT	English_32	feedback	size_basic_filler_3_f	NA	1	7	scarf_pan	smallest frying pan	smallest frying pan		small_blue_pan	big_white_pan	big_blue_pan	small_white_scarf	NA	NA	big_white_pan,big_white_pan,small_white_scarf,small_blue_pan,big_blue_pan	small_blue_pan,small_blue_pan,big_blue_pan,big_white_pan,small_white_scarf	1	"c(""S"", """", ""N"")"		FALSE	TRUE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	color_basic_filler_1_m	NA	1	8	rug_bike	small red bike	small red bike		small_red_bike	big_red_bike	big_white_rug	small_white_bike	NA	NA	big_white_rug,big_white_rug,small_white_bike,big_red_bike,small_red_bike	big_red_bike,big_red_bike,small_white_bike,small_red_bike,big_white_rug	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	color_diff_diff_f	NA	1	9	tent_remote	small green remote	small green remote		small_green_remote	big_green_remote	small_orange_tent	big_orange_remote	big_orange_tent	big_orange_tent	big_green_remote,big_green_remote,small_orange_tent,big_orange_remote,small_green_remote,big_orange_tent,big_orange_tent	big_orange_remote,big_orange_remote,big_green_remote,small_green_remote,small_orange_tent,big_orange_tent,big_orange_tent	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
djHqEEgoKbR5rJxgT	English_32	feedback	color_diff_diff_m	NA	1	10	calendar_truck	large black lorry	large black lorry		big_black_truck	small_black_truck	big_purple_calendar	small_purple_truck	small_purple_calendar	small_purple_calendar	small_purple_truck,small_purple_truck,small_purple_calendar,small_purple_calendar,big_black_truck,small_black_truck,big_purple_calendar	small_purple_calendar,small_purple_calendar,small_black_truck,small_purple_truck,big_black_truck,small_purple_calendar,big_purple_calendar	1	"c(""S"", ""C"", ""N"")"		TRUE	TRUE	TRUE	TRUE	TRUE
