gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender
CkeeDJQs3b24kcEJ5	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	4	mug	mug		white_mug	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	5	blue telephone	blue telephone		blue_phone	1	TRUE	FALSE	TRUE	TRUE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	6	basket	basket		purple_basket	1	FALSE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	10	door	door		blue_door	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	11	black hammer	black hammer		black_hammer	1	TRUE	FALSE	TRUE	FALSE	TRUE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	12	dress	dress		white_dress	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	13	bed	bed		red_bed	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	14	ring	ring		blue_ring	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	15	helicopter	helicopter		orange_helicopter	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	16	comb	comb		red_comb	1	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CkeeDJQs3b24kcEJ5	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	19	guitar	guitar		yellow_guitar	1	FALSE	FALSE	TRUE	FALSE	TRUE	NA
