gameId	language	stage	condition	imageType	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	directorSecondMessage	guesserAllMessages	nameClickedObj	ItemID	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	correct	TakeFirst	words	sep	words2	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
zEvfWFiJr3aGqiCxS	French	feedback	size_basic_filler_3_m	NA	1	1	non c'est le dès violet__petit	non c'est le dès violet	petit	est ce le sifflet?__le grand ou le petit?	small_purple_die	whistle_die	big_orange_die	big_purple_die	small_orange_whistle	no_extras	no_extras	1	T	"c("""", """", """", ""A"", """", ""C"")"		S	TRUE	FALSE	FALSE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	color_same_diff_m	NA	1	2	grand vase vert	grand vase vert	"NA"	piano?	big_green_vase	piano_vase	small_green_vase	big_black_piano	small_black_vase	small_black_vase	small_black_vase	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	FALSE
zEvfWFiJr3aGqiCxS	French	feedback	color_basic_target_f	NA	1	3	petit réveil bleu	petit réveil bleu	"NA"		small_blue_clock	napkin_clock	big_blue_clock	small_red_napkin	big_red_clock	no_extras	no_extras	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	size_basic_filler_3_f	NA	1	4	le jeu a aucun sens ahaha__petite cuillère orange	le jeu a aucun sens ahaha	petite cuillère orange		small_orange_spoon	tent_spoon	big_green_spoon	big_orange_spoon	small_green_tent	no_extras	no_extras	1	F	"c(""A"", """", """", """", """", """")"		"c(""S"", ""N"", ""C"")"	TRUE	TRUE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	size_same_diff_f	NA	1	5	petite agrafe blanche	petite agrafe blanche	"NA"		small_white_stapler	billiardball_stapler	small_yellow_stapler	big_white_billiardball	big_yellow_stapler	big_yellow_stapler	big_yellow_stapler	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	size_diff_same_f	NA	1	6	petite pelle noire	petite pelle noire	"NA"		small_black_shovel	remote_shovel	small_purple_shovel	big_black_remote	big_purple_shovel	small_purple_remote	small_purple_remote	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	color_basic_filler_3_f	NA	1	7	calculatrice blanche	calculatrice blanche	"NA"		small_white_calculator	flower_calculator	big_yellow_calculator	small_yellow_calculator	big_white_flower	no_extras	no_extras	1	T	"c(""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	color_same_same_f	NA	1	8	petite cravatte violette	petite cravatte violette	"NA"		small_purple_tie	sock_tie	big_purple_tie	small_orange_sock	big_orange_tie	big_purple_tie	big_purple_tie	1	T	"c(""S"", """", ""C"")"			TRUE	TRUE	FALSE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	color_basic_filler_2_m	NA	1	9	petit cintre blanc	petit cintre blanc	"NA"		small_white_coathanger	frame_coathanger	small_yellow_frame	big_yellow_frame	big_white_frame	no_extras	no_extras	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
zEvfWFiJr3aGqiCxS	French	feedback	color_basic_target_m	NA	1	10	petit papillon rouge	petit papillon rouge	"NA"		small_red_butterfly	comb_butterfly	big_red_butterfly	small_white_comb	big_white_butterfly	no_extras	no_extras	1	T	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
