gameId	X_id	listenerSelection	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
mPqh89q4SWXjgYhPf	fSm4CdF6CZozCTvcE	1	feedback	color42	"NA"	"NA"	"NA"	"NA"	1	the pink one	the pink one		big_pink_framee	1	TRUE	FALSE	FALSE	TRUE	TRUE
mPqh89q4SWXjgYhPf	MrWoXuzXyRdZPLjPx	1	feedback	supSuff	ambulance	vehicle	gloves	clothing	2	the polar bear	the polar bear		polarBear	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	ytToCasmmfF5mzA6L	1	feedback	supSuff	chips	snack	shirt	clothing	3	the bear	the bear		grizzlyBear	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	7rwFKhaSg8LK8ZBAi	1	feedback	color22	"NA"	"NA"	"NA"	"NA"	4	the purple one	the purple one		small_purple_bracelet	1	TRUE	FALSE	FALSE	TRUE	TRUE
mPqh89q4SWXjgYhPf	sRQMAvGMbz5xesKac	1	feedback	size33	"NA"	"NA"	"NA"	"NA"	5	the smallest one	the smallest one		small_blue_candle	1	FALSE	TRUE	FALSE	TRUE	TRUE
mPqh89q4SWXjgYhPf	LyWw69CtBn8t2bZuy	1	feedback	supSuff	dog	animal	rosemary	plant	6	the van	the van		minivan	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	geHtPbDRxs35FagYG	1	feedback	size42	"NA"	"NA"	"NA"	"NA"	7	the largest purple ball	the largest purple ball		big_purple_billiardball	1	TRUE	TRUE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	AWLXJeBmFSmR8PK3G	1	feedback	size21	"NA"	"NA"	"NA"	"NA"	8	the largest red yarn	the largest red yarn		big_red_yarn	1	TRUE	TRUE	TRUE	FALSE	TRUE
mPqh89q4SWXjgYhPf	Nz9EeSibZEywLe6Mr	1	feedback	basicSuffType1	bed	furniture	lamp	furniture	9	the nightstand	the nightstand		bedsideTable	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	JqwdZMvza3rHB3Hiw	1	feedback	basicSuffType1	rabbit	animal	bison	animal	10	the dog	the dog		dalmatian	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	a43dBmQDwa7aqha6d	1	feedback	color43	"NA"	"NA"	"NA"	"NA"	11	the orange pillow	the orange pillow		small_orange_cushion	1	TRUE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	Pjw96aDF2E6so9vMt	1	feedback	subNec	bird	animal	horse	animal	12	the pigeon	the pigeon		pigeon	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	Z2qnSna5tuRzeLawG	1	feedback	size44	"NA"	"NA"	"NA"	"NA"	13	the smallest phone	the smallest phone		small_pink_phone	1	FALSE	TRUE	TRUE	FALSE	TRUE
mPqh89q4SWXjgYhPf	nDb8tzuzBpucRS5oK	1	feedback	subNec	flower	plant	rosemary	plant	14	the biggest flower, i think its a tulip lol	the biggest flower, i think its a tulip lol		tulip	1	FALSE	TRUE	TRUE	FALSE	TRUE
mPqh89q4SWXjgYhPf	J6BNP2D3mNKcj5pX8	1	feedback	color42	"NA"	"NA"	"NA"	"NA"	15	the yellow hat	the yellow hat		big_orange_cap	1	TRUE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	uwhsTzMrWDYTBA5Jh	1	feedback	color21	"NA"	"NA"	"NA"	"NA"	16	the orange one	the orange one		big_orange_pingpongball	1	TRUE	FALSE	FALSE	TRUE	TRUE
mPqh89q4SWXjgYhPf	JohQEkK9rtyB3kLL3	1	feedback	basicSuffType2	horse	animal	pretzels	snack	17	the fish	the fish		catfish	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	AHj5nzfdCseYKdHCa	1	feedback	color31	"NA"	"NA"	"NA"	"NA"	18	the small dark turtle	the small dark turtle		small_black_turtle	1	FALSE	TRUE	TRUE	FALSE	TRUE
mPqh89q4SWXjgYhPf	4HsGRSGANoBoh2AeP	1	feedback	size43	"NA"	"NA"	"NA"	"NA"	19	the biggest red scarf	the biggest red scarf		big_red_scarf	1	TRUE	TRUE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	PWmzvMeYNkueSZTcB	1	feedback	basicSuffType2	sheep	animal	ambulance	vehicle	20	the dog	the dog		germanShepherd	1	FALSE	FALSE	FALSE	FALSE	TRUE
mPqh89q4SWXjgYhPf	Mz45NL3CFC3GqsD5t	1	feedback	supSuff	dress	clothing	popcorn	snack	21	the car	the car		convertible	1	FALSE	FALSE	FALSE	FALSE	TRUE
