gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	2	adsf	adsf		black_luggage	1	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	5	asdf	asdf		purple_lock	1	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene1	NA	NA	NA	NA	4	pophristic_stimuli	7	adsf	adsf		orange_screwdriver	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene1	NA	NA	NA	NA	5	pophristic_stimuli	8	adsf	adsf		black_luggage	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	4	pophristic_stimuli	9	adsf	adsf		blue_belt	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	10	adsf	adsf		purple_glove	1	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	11	adsf	adsf		orange_truck	1	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene1	NA	NA	NA	NA	4	pophristic_stimuli	12	asdf	asdf		yellow_belt	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene3	NA	NA	NA	NA	3	pophristic_stimuli	13	adsf	adsf		purple_hammer	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	3	pophristic_stimuli	14	asdf	asdf		red_butterfly	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene1	NA	NA	NA	NA	4	pophristic_stimuli	16	adsf\	adsf\		blue_book	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	18	asdf	asdf		white_scarf	1	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	6	pophristic_stimuli	20	adsf	adsf		red_guitar	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	2	pophristic_stimuli	22	asdf	asdf		orange_shell	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene1	NA	NA	NA	NA	6	pophristic_stimuli	23	asdf	asdf		blue_chair	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene2	NA	NA	NA	NA	5	pophristic_stimuli	24	asdf	asdf		blue_calculator	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	2	pophristic_stimuli	25	asdf	asdf		green_shell	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	5	pophristic_stimuli	26	adsf	adsf		orange_shell	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
puWMByDpinqtmv39h	English	feedback	scene4	NA	NA	NA	NA	5	pophristic_stimuli	27	asdf	asdf		green_lock	0	O		FALSE	FALSE	FALSE	FALSE	TRUE	NA
