gameid	Trial	condition	TrialType	ControlType	ItemID	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	DistractorsNoun	DistractorsRedProp	NounGender	speakerMessages	listenerMessages	refExp_wrong	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive
nXejqxLkiFbAPDZXp	2	color_basic_filler_1_f	control	both_necessary	cap_ornament	small_white_ornament	size and color	redundant	size	color redundant	3	no_extras	no_extras	F	bonjour__la petite boule de noel blanche__la plus petite des deux	re desolée	bonjour	0	1	ornament	small	white	TRUE	TRUE	TRUE	TRUE	big_white_ornament	big_blue_cap	small_blue_ornament	NA	NA
nXejqxLkiFbAPDZXp	3	size_same_diff_f	target	undefined	door_ruler	small_yellow_ruler	size and color	redundant	color	size redundant	5	same	diff	F	la plus petite en jaune__pas de soucis!__la regle	y'avait pas de notif sonore que ça a commencé c'est dommage__la règle ou la porte ?	la plus petite en jaune	0	1	ruler	small	yellow	TRUE	TRUE	FALSE	TRUE	small_white_ruler	big_yellow_door	big_white_ruler	big_white_ruler	big_white_ruler
nXejqxLkiFbAPDZXp	4	size_diff_same_m	target	undefined	switch_bucket	big_red_bucket	color	minimal	color	size redundant	5	diff	same	M	le sceau rouge	oh l'interrupteur en rouge il est grave stylé	le sceau rouge	1	0	bucket	big	red	TRUE	FALSE	TRUE	TRUE	big_yellow_bucket	small_red_switch	small_yellow_bucket	big_yellow_switch	big_yellow_switch
nXejqxLkiFbAPDZXp	5	size_basic_filler_3_m	control	size_redundant	balloon_comb	small_yellow_comb	size and color	redundant	color	size redundant	3	no_extras	no_extras	M	le plus petit peigne jaune		le plus petit peigne jaune	0	1	comb	small	yellow	TRUE	TRUE	TRUE	TRUE	big_red_comb	big_yellow_comb	small_red_balloon	NA	NA
nXejqxLkiFbAPDZXp	6	color_same_diff_f	target	undefined	flower_crown	small_blue_crown	size and color	redundant	size	color redundant	5	same	diff	F	la plus petit couronne bleu__petite*		la plus petit couronne bleu	0	1	crown	small	blue	TRUE	TRUE	TRUE	TRUE	big_blue_crown	small_white_flower	big_white_crown	big_white_crown	big_white_crown
nXejqxLkiFbAPDZXp	8	color_diff_same_m	target	undefined	lipstick_vase	big_purple_vase	size and color	redundant	size	color redundant	5	diff	same	M	quel couleur?__le plus gros vase violet oui!	incroyable__mmmh__j'dirais violet car y'en a plus	quel couleur?	0	1	vase	big	purple	TRUE	TRUE	TRUE	TRUE	small_purple_vase	big_orange_lipstick	small_orange_vase	small_purple_lipstick	small_purple_lipstick
nXejqxLkiFbAPDZXp	10	size_basic_filler_1_f	control	both_necessary	magnifyingglass_ring	big_white_ring	size and color	redundant	color	size redundant	3	no_extras	no_extras	F	hahah toi aussi!__la plus grosse bague en blanc	azy t'es super drole c'est trop bien	hahah toi aussi!	0	1	ring	big	white	TRUE	TRUE	TRUE	TRUE	big_yellow_ring	small_yellow_magnifyingglass	small_white_ring	NA	NA
nXejqxLkiFbAPDZXp	14	size_same_same_f	target	undefined	candle_clock	small_blue_clock	color	minimal	color	size redundant	5	same	same	F	le reveil bleu	tiens il est 8 heures 15	le reveil bleu	1	0	clock	small	blue	TRUE	FALSE	TRUE	TRUE	small_yellow_clock	big_blue_candle	big_yellow_clock	small_yellow_clock	small_yellow_clock
nXejqxLkiFbAPDZXp	15	size_diff_diff_f	target	undefined	billiardball_napkin	small_white_napkin	color	minimal	color	size redundant	5	diff	diff	F	le mouchoir blanc		le mouchoir blanc	1	0	napkin	small	white	TRUE	FALSE	TRUE	TRUE	small_yellow_napkin	big_white_billiardball	big_yellow_napkin	big_yellow_billiardball	big_yellow_billiardball
nXejqxLkiFbAPDZXp	16	size_same_same_m	target	undefined	mask_phone	big_white_phone	color	minimal	color	size redundant	5	same	same	M	ouf!__le vieux telephone blanc!	j'ai failli me tromper ?	ouf!	1	0	phone	big	white	TRUE	FALSE	TRUE	TRUE	big_yellow_phone	small_white_mask	small_yellow_phone	big_yellow_phone	big_yellow_phone
nXejqxLkiFbAPDZXp	17	color_basic_target_f	target	undefined	fork_spoon	small_orange_spoon	size and color	redundant	size	color redundant	3	no_extras	no_extras	F	non c'est plus qu'on en voit plus des telehpones comme ca!__la petite cuiellere orange	krkrkr pas faux	non c'est plus qu'on en voit plus des telephones comme ca!	0	1	spoon	small	orange	TRUE	TRUE	TRUE	TRUE	big_orange_spoon	small_black_fork	big_black_spoon	NA	NA
nXejqxLkiFbAPDZXp	18	color_diff_diff_f	target	undefined	lamp_calculator	small_blue_calculator	size and color	redundant	size	color redundant	5	diff	diff	F	plus petite calculette bleu	après en même temps autant c'est drole a utiliser autant c'est pas le plus simple	plus petite calculette bleu	0	1	calculator	small	blue	TRUE	TRUE	TRUE	TRUE	big_blue_calculator	small_red_lamp	big_red_calculator	big_red_lamp	big_red_lamp
nXejqxLkiFbAPDZXp	19	size_same_diff_m	target	undefined	frame_bed	big_blue_bed	size and color	redundant	color	size redundant	5	same	diff	M	le plus grand lit bleu		le plus grand lit bleu	0	1	bed	big	blue	TRUE	TRUE	TRUE	TRUE	big_yellow_bed	small_blue_frame	small_yellow_bed	small_yellow_bed	small_yellow_bed
nXejqxLkiFbAPDZXp	20	size_basic_target_m	target	undefined	screwdriver_airplane	small_purple_airplane	color	minimal	color	size redundant	3	no_extras	no_extras	M	oui ca m étonne que ca change pas__l'avion violet	ça m'étonne que j'sois pas passée chef tiens	oui ca m étonne que ca change pas	1	0	airplane	small	purple	TRUE	FALSE	TRUE	TRUE	small_orange_airplane	big_purple_screwdriver	big_orange_airplane	NA	NA
nXejqxLkiFbAPDZXp	21	color_same_same_f	target	undefined	shovel_sock	small_green_sock	size and color	redundant	size	color redundant	5	same	same	F	la petite chausette verte	oh la chaussette__elle a été utilisée elle	la petite chaussette verte	0	1	sock	small	green	TRUE	TRUE	TRUE	TRUE	big_green_sock	small_orange_shovel	big_orange_sock	big_green_sock	big_green_sock
nXejqxLkiFbAPDZXp	22	size_diff_same_f	target	undefined	tie_remote	small_orange_remote	color	minimal	color	size redundant	5	diff	same	F	telecommande orange		telecommande orange	1	0	remote	small	orange	TRUE	FALSE	TRUE	TRUE	small_green_remote	big_orange_tie	big_green_remote	small_green_tie	small_green_tie
nXejqxLkiFbAPDZXp	23	size_basic_filler_3_f	control	size_redundant	chair_mug	small_red_mug	size and color	redundant	color	size redundant	3	no_extras	no_extras	F	petite tasse rouge	la tasse elle a subi 25 modifications j'crois__elle est tellement pixelisée	petite tasse rouge	0	1	mug	small	red	TRUE	TRUE	TRUE	FALSE	big_white_mug	big_red_mug	small_white_chair	NA	NA
