gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	words	comments	guesserAllMessages	nameClickedObj	correct	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	sep
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	grasses	plant	ivy	plant	1	16	girasol or sunflower	girasol or sunflower				sunflower	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	squirrel	animal	bear	animal	1	18	bald eagle	bald eagle				eagle	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	wardrobe	furniture	bed	furniture	1	19	table	table				diningTable	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	chips	snack	cookies	snack	1	31	skittles	skittles				skittles	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	train	vehicle	ambulance	vehicle	1	35	car	car				convertible	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	kitten	animal	rabbit	animal	1	39	dog	dog				germanShepherd	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	grasses	plant	ivy	plant	1	42	tulip	tulip				tulip	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	popcorn	snack	chips	snack	1	45	candies	candies				jellyBeans	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	elephant	animal	hamster	animal	1	69	pigeon	pigeon				pigeon	1	FALSE	FALSE	FALSE	TRUE	FALSE	
v2J2BjboP65oSJMoy	Spanish	feedback	basicSuffType1	iguana	animal	cow	animal	1	72	catfish	catfish				catfish	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	bear	animal	kitten	animal	1	5	bird__dove	bird				pigeon	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	cow	animal	horse	animal	1	9	eagle	eagle				eagle	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	motorcycle	vehicle	train	vehicle	1	20	car	car				suv	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	motorcycle	vehicle	firetruck	vehicle	1	39	family car	family car				minivan	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	bookcase	furniture	bed	furniture	1	54	camping table	camping table				picnicTable	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	chips	snack	cookies	snack	1	55	clorful sweets__colorful	clorful sweets				jellyBeans	1	FALSE	FALSE	FALSE	TRUE	FALSE	
8NHcSDdWKk5ax3mAb	Spanish	feedback	basicSuffType1	train	vehicle	firetruck	vehicle	1	59	grey car	grey car				convertible	1	FALSE	FALSE	FALSE	TRUE	FALSE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	wardrobe	furniture	lamp	furniture	1	3	tiene cuatro patas	tiene cuatro patas				diningTable	1	FALSE	FALSE	FALSE	TRUE	FALSE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	train	vehicle	ambulance	vehicle	2	14	no es transporte publico ni se usa en hospitales	no es transporte publico ni se usa en hospitales				train	0	FALSE	FALSE	FALSE	TRUE	FALSE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	popcorn	snack	pretzels	snack	1	16	muchos colores diferentes	muchos colores diferentes				jellyBeans	1	FALSE	FALSE	FALSE	TRUE	FALSE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	lion	animal	bird	animal	1	30	vive en el mar	vive en el mar	A			catfish	1	FALSE	FALSE	FALSE	TRUE	TRUE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	cow	animal	rabbit	animal	1	39	vuela	vuela				parrot	1	FALSE	FALSE	FALSE	TRUE	TRUE	
TXdqz7vwbJSeKpJHS	Spanish	feedback	basicSuffType1	rabbit	animal	kitten	animal	1	51	vuela	vuela				pigeon	1	FALSE	FALSE	FALSE	TRUE	TRUE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	squirrel	animal	lion	animal	1	3	estas con los bomberos	estas con los bomberos	A			dalmatian	1	FALSE	FALSE	FALSE	TRUE	TRUE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	pottedPlant	plant	ivy	plant	1	6	una flor	una flor	N			tulip	1	FALSE	FALSE	TRUE	TRUE	FALSE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	bed	furniture	lamp	furniture	1	9	va en el centro de la sala	va en el centro de la sala	AA			coffeeTable	1	FALSE	FALSE	FALSE	TRUE	TRUE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	firetruck	vehicle	train	vehicle	1	22	la ocupan las mamás	la ocupan las mamás	AA			minivan	1	FALSE	FALSE	FALSE	TRUE	TRUE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	rosemary	plant	grasses	plant	1	30	blanco	blanco	C			daisy	1	TRUE	FALSE	FALSE	TRUE	TRUE	
D5sTSEMaXM7y3Q7AW	Spanish	feedback	basicSuffType1	motorcycle	vehicle	train	vehicle	1	34	4 ruedas	4 ruedas				sportsCar	1	FALSE	FALSE	FALSE	TRUE	FALSE	
