gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	gender	target
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	1	its a door	its a door	got it	blue_door	1	"c("""", ""A"", ""N"")"		FALSE	FALSE	TRUE	FALSE	TRUE	NA	door
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	2	its the green bowl	its the green bowl		green_bowl	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	bowl
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	3	its the scarf	its the scarf	thanks	blue_scarf	1	"c("""", ""A"", ""N"")"		FALSE	FALSE	TRUE	FALSE	TRUE	NA	scarf
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	4	its the purple slipper	its the purple slipper		purple_slipper	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	slipper
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	5	its the blue dress	its the blue dress		blue_dress	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	dress
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	6	its the purple helicopter	its the purple helicopter		purple_helicopter	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	helicopter
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	7	its the green suitcase	its the green suitcase		green_luggage	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	luggage
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	8	its the black microscope	its the black microscope	is it the black bow?	black_microscope	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	microscope
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	12	yellow flower	yellow flower		yellow_flower	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	flower
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	13	truck	truck		purple_truck	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA	truck
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	14	purple glove	purple glove		purple_glove	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	glove
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	16	oraange knife	oraange knife		orange_knife	1	"c("""", ""N"")"		FALSE	FALSE	TRUE	FALSE	TRUE	NA	knife
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	19	yellow chair	yellow chair		yellow_chair	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	chair
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	20	purple robot	purple robot		purple_robot	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	robot
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	21	its the white ring	its the white ring		white_ring	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	ring
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	23	blue pencil	blue pencil		blue_pencil	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	pencil
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	24	guitar	guitar		blue_guitar	1	N		FALSE	FALSE	TRUE	FALSE	TRUE	NA	guitar
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	25	blue pillow	blue pillow		blue_cushion	1	"c(""C"", """")"		TRUE	FALSE	FALSE	FALSE	FALSE	NA	cushion
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	28	black tie	black tie		black_tie	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	tie
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	29	the bow	the bow		orange_ribbon	1	"c(""A"", ""N"")"		FALSE	FALSE	TRUE	FALSE	TRUE	NA	ribbon
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	31	cup	cup		white_mug	1			FALSE	FALSE	FALSE	FALSE	FALSE	NA	mug
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	32	hammer	hammer		green_hammer	1	N		FALSE	FALSE	TRUE	FALSE	TRUE	NA	hammer
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	34	calculator	calculator		red_calculator	1	N		FALSE	FALSE	TRUE	FALSE	TRUE	NA	calculator
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	35	yellow fence	yellow fence		yellow_fence	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	fence
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	37	purple fork	purple fork		purple_fork	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	fork
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	38	its the purple sock	its the purple sock		purple_sock	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	sock
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	39	its the red bed	its the red bed		red_bed	1	"c("""", ""A"", ""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	bed
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	40	the baloon	the baloon		white_balloon	1	"c(""A"", """")"		FALSE	FALSE	FALSE	FALSE	TRUE	NA	balloon
JEkdTgN6tsALip8pB	English	feedback	scene1	"NA"	"NA"	"NA"	"NA"	1	NA	43	red iron	red iron		red_iron	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	FALSE	NA	iron
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	45	purple binoculars	purple binoculars		purple_binoculars	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	binoculars
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	46	orange beads	orange beads		orange_necklace	1	"c(""C"", """")"		TRUE	FALSE	FALSE	FALSE	TRUE	NA	necklace
JEkdTgN6tsALip8pB	English	feedback	scene3	"NA"	"NA"	"NA"	"NA"	1	NA	47	the calender	the calender		green_calendar	1	"c(""A"", ""N"")"		FALSE	FALSE	TRUE	FALSE	TRUE	NA	calendar
JEkdTgN6tsALip8pB	English	feedback	scene4	"NA"	"NA"	"NA"	"NA"	1	NA	49	red candle	red candle		red_candle	1	"c(""C"", ""N"")"		TRUE	FALSE	TRUE	FALSE	TRUE	NA	candle
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	51	dice	dice		black_die	1			FALSE	FALSE	FALSE	FALSE	FALSE	NA	die
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	52	lock	lock		purple_lock	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA	lock
JEkdTgN6tsALip8pB	English	feedback	scene2	"NA"	"NA"	"NA"	"NA"	1	NA	54	butterfly	butterfly		blue_butterfly	1	N		FALSE	FALSE	TRUE	FALSE	FALSE	NA	butterfly
