gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	imageType	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	sep	gender	d_preManualTypoCorrection.target
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	ambulance	vehicle	pretzels	snack	1	degenetal_stimuli	1	sivo i ima kolica__i izgleda lijepo	sivo i ima kolica	NA	convertible	1	CO	NA	2	convertible
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	2	narancasto i nose se stvari u tome	narancasto i nose se stvari u tome	NA	orange_basket	1	CO	NA	2	basket
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	3	crveno i ima brojke	crveno i ima brojke	NA	red_phone	1	CO	NA	2	phone
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	dog	animal	bear	animal	1	degenetal_stimuli	4	sivo i izgleda ko vuk	sivo i izgleda ko vuk	NA	husky	1	CO	NA	2	husky
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	5	zeleno	zeleno	NA	green_sock	1	C	NA	5	sock
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	6	narancasto__poke	narancasto	NA	orange_fork	1	C	NA	5	fork
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	pretzels	snack	cookies	snack	1	degenetal_stimuli	7	sareno	sareno	NA	gummyBears	1	O	NA	5	gummyBears
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	8	crno i glasno je	crno i glasno je	NA	black_drum	1	CO	NA	1	drum
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	9	narancasto i ravno	narancasto i ravno	NA	orange_tie	1	CO	NA	1	tie
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	10	ljubicasta	ljubicasta	NA	purple_screwdriver	1	C	NA	6	screwdriver
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	socks	clothing	firetruck	vehicle	1	degenetal_stimuli	11	hrana	hrana	NA	catfish	1	O	NA	0	catfish
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	12	volim sjediti na tom	volim sjediti na tom	NA	white_chair	1	O	NA	0	chair
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	13	lijepo mirise	lijepo mirise	NA	red_candle	1	CO	NA	0	candle
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	14	crno i ima brojeve opet	crno i ima brojeve opet	NA	black_calendar	1	CO	NA	2	calendar
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	15	lijepo i crveno	lijepo i crveno	NA	red_butterfly	1	OC	NA	2	butterfly
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	16	moju spijunirat kroz njih	moju spijunirat kroz njih	NA	orange_binoculars	1	O	NA	2	binoculars
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	17	nosim ih trenutno i narancasto je	nosim ih trenutno i narancasto je	NA	orange_slipper	1	OC	NA	2	slipper
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	candy	snack	chips	snack	1	degenetal_stimuli	18	sareno i okruglo	sareno i okruglo	NA	skittles	1	O	NA	0	skittles
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	19	crno i ima tocke	crno i ima tocke	NA	black_die	1	CO	NA	2	die
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	flower	plant	ivy	plant	1	degenetal_stimuli	20	bijelo	bijelo	NA	daisy	1	C	NA	5	daisy
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	21	crveno i mekano	crveno i mekano	NA	red_scarf	1	CO	NA	2	scarf
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	22	helikopter helikopeeeeer	helikopter helikopeeeeer	NA	purple_helicopter	1	N	NA	0	helicopter
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	23	plavo	plavo	NA	blue_ring	1	C	NA	5	ring
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	rabbit	animal	cow	animal	1	degenetal_stimuli	24	crno bijeli fluffy svijet	crno bijeli fluffy svijet	NA	pandaBear	1	CCN	NA	2	pandaBear
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	bear	animal	flower	plant	1	degenetal_stimuli	25	spiky	spiky	NA	swordFish	1	O	NA	0	swordFish
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	26	opeci cu se ako ga dotaknem	opeci cu se ako ga dotaknem	NA	blue_iron	1	O	NA	0	iron
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	27	zeleno i mora da je lijepo	zeleno i mora da je lijepo	NA	green_necklace	1	CO	NA	2	necklace
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	firetruck	vehicle	ambulance	vehicle	1	degenetal_stimuli	28	vrum vrum bijeli	vrum vrum bijeli	NA	minivan	1	OC	NA	2	minivan
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	dog	animal	candy	snack	1	degenetal_stimuli	29	kokooo i sivi	kokooo i sivi	NA	eagle	1	OC	NA	2	eagle
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	30	a za provijeriti stanice	a za provijeriti stanice	NA	orange_microscope	1	O	NA	2	microscope
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	31	narancasto i suplje	narancasto i suplje	NA	orange_shell	1	CO	NA	2	shell
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	32	otvara se	otvara se	NA	yellow_door	1	O	NA	0	door
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	dog	animal	dog	animal	1	degenetal_stimuli	33	ovce ganja	ovce ganja	NA	germanShepherd	1	O	NA	0	germanShepherd
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	pottedPlant	plant	gloves	clothing	1	degenetal_stimuli	34	crveno	crveno	NA	tulip	1	C	NA	0	tulip
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	35	plavo i__izgleda mi ko siba__mlao	plavo i	i?	blue_belt	1	C	NA	0	belt
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	36	bijelo za crkvu	bijelo za crkvu	NA	white_dress	1	CO	NA	2	dress
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	37	lijepo mirise i dosta je plavp	lijepo mirise i dosta je plavp	NA	blue_flower	1	OC	NA	2	flower
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	38	svira__i bijelo	svira	NA	white_guitar	1	O	NA	0	guitar
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	firetruck	vehicle	ambulance	vehicle	1	degenetal_stimuli	39	a koji je lijepsi__bijeli__roditelji bi vozili	a koji je lijepsi	auto?	suv	1	O	NA	0	suv
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	40	zakljucam pare sa njim i zeleno	zakljucam pare sa njim i zeleno	NA	green_lock	1	OC	NA	2	lock
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	41	izgleda ko bijeli cesalj	izgleda ko bijeli cesalj	NA	white_comb	1	CN	NA	2	comb
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	42	matematika plava	matematika plava	NA	blue_calculator	1	OC	NA	2	calculator
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	43	tuknem te sa time zelenim	tuknem te sa time zelenim	NA	green_hammer	1	OC	NA	2	hammer
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	44	zelena ruka	zelena ruka	NA	green_glove	1	CO	NA	2	glove
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	45	zelena	zelena	NA	green_truck	1	C	NA	6	truck
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	46	elizabeth plava	elizabeth plava	NA	blue_crown	1	OC	NA	2	crown
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	47	putovanje zelena	putovanje zelena	NA	green_luggage	1	OC	NA	2	luggage
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	motorcycle	vehicle	pretzels	snack	1	degenetal_stimuli	48	profesionalno	profesionalno	NA	dressShirt	1	O	NA	0	dressShirt
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	49	r2d2	r2d2	NA	black_robot	1	O	NA	0	robot
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	50	di mi je kartica?	di mi je kartica?	NA	white_wallet	1	O	NA	0	wallet
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	lion	animal	pottedPlant	plant	1	degenetal_stimuli	51	med	med	NA	grizzlyBear	1	N	NA	0	grizzlyBear
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	52	voda__crna__pa kj nije crna riba	voda	riba?	black_fish	1	O	NA	0	fish
K6HsQtxkc3dnokJJY	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	53	it 2 al zuti	it 2 al zuti	NA	yellow_balloon	1	OC	NA	2	balloon
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	54	korona al ne zelena neg plava	korona al ne zelena neg plava	NA	blue_mask	1	OC	NA	2	mask
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	sheep	animal	table	furniture	1	degenetal_stimuli	55	vrum vrum	vrum vrum	NA	sportsCar	1	O	NA	0	sportsCar
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	56	spava mi se	spava mi se	NA	yellow_cushion	1	O	NA	0	cushion
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	squirrel	animal	chips	snack	1	degenetal_stimuli	57	nemo	nemo	NA	clownFish	1	O	NA	0	clownFish
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	58	crna zdjela	crna zdjela	NA	black_bowl	1	CN	NA	1	bowl
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	59	crveno drvo	crveno drvo	NA	red_fence	1	CN	NA	1	fence
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	rabbit	animal	ambulance	vehicle	1	degenetal_stimuli	60	wuf wuf	wuf wuf	NA	dalmatian	1	O	NA	0	dalmatian
K6HsQtxkc3dnokJJY	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	61	zeleno	zeleno	NA	green_knife	1	C	NA	5	knife
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType1	bison	animal	squirrel	animal	1	degenetal_stimuli	62	leti	leti	NA	hummingBird	1	O	NA	0	hummingBird
K6HsQtxkc3dnokJJY	BCS	feedback	basicSuffType2	wardrobe	furniture	socks	clothing	1	degenetal_stimuli	63	hamburger	hamburger	stol?	picnicTable	1	O	NA	0	picnicTable
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	64	nesto sto ne volim citat	nesto sto ne volim citat	NA	blue_book	1	O	NA	0	book
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	65	pije mi se kava__zuta	pije mi se kava	plava ili zuta?	yellow_mug	1	O	NA	0	mug
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	bear	animal	elephant	animal	1	degenetal_stimuli	66	ledeno	ledeno	NA	polarBear	1	O	NA	0	polarBear
K6HsQtxkc3dnokJJY	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	67	naranca	naranca	NA	orange_ribbon	1	C	NA	1	ribbon
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	dress	clothing	chips	snack	1	degenetal_stimuli	68	goldy	goldy	NA	goldFish	1	O	NA	0	goldFish
K6HsQtxkc3dnokJJY	BCS	feedback	subNec	table	furniture	wardrobe	furniture	1	degenetal_stimuli	69	stol__za noge	stol	NA	coffeeTable	1	N	NA	0	coffeeTable
K6HsQtxkc3dnokJJY	BCS	feedback	supSuff	motorcycle	vehicle	gloves	clothing	1	degenetal_stimuli	70	sarno	sarno	NA	jellyBeans	1	O	NA	0	jellyBeans
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	71	white__bijelo	white	NA	white_pencil	1	C	NA	0	pencil
K6HsQtxkc3dnokJJY	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	72	plavo	plavo	NA	blue_bed	1	C	NA	5	bed
FBvH572Wau2JNFPAd	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	1	zlatna kruna	zlatna kruna	NA	yellow_crown	1	CN	NA	1	crown
FBvH572Wau2JNFPAd	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	2	helikopter	helikopter	NA	orange_helicopter	1	N	NA	0	helicopter
FBvH572Wau2JNFPAd	BCS	feedback	scene2	NA	NA	NA	NA	1	pophristic_stimuli	3	ljubicasti kamion	ljubicasti kamion	NA	purple_truck	1	CN	NA	1	truck
FBvH572Wau2JNFPAd	BCS	feedback	scene4	NA	NA	NA	NA	1	pophristic_stimuli	4	ljubicasta zdjela	ljubicasta zdjela	NA	purple_bowl	1	CN	NA	1	bowl
FBvH572Wau2JNFPAd	BCS	feedback	scene3	NA	NA	NA	NA	1	pophristic_stimuli	5	crvena knjiga	crvena knjiga	NA	red_book	1	CN	NA	1	book
FBvH572Wau2JNFPAd	BCS	feedback	basicSuffType2	rabbit	animal	bathrobe	clothing	1	degenetal_stimuli	6	sarena papiga	sarena papiga	NA	parrot	1	O	NA	0	parrot
FBvH572Wau2JNFPAd	BCS	feedback	scene1	NA	NA	NA	NA	1	pophristic_stimuli	7	plavi kais	plavi kais	NA	blue_belt	1	CN	NA	1	belt
FBvH572Wau2JNFPAd	BCS	feedback	subNec	table	furniture	lamp	furniture	1	degenetal_stimuli	8	bez stol sa klupama	bez stol sa klupama	NA	picnicTable	1	CN	NA	4	picnicTable
