gameId	language	stage	condition	alt1BasicLevel	alt1SuperLevel	alt2BasicLevel	alt2SuperLevel	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	guesserAllMessages	nameClickedObj	correct	words	comments	sep	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
i9kH9EnohLzqAaboq	Spanish	feedback	color21	NA	NA	NA	NA	1	3	es de otro color.	es de otro color.		big_pink_weddingcake	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color21	NA	NA	NA	NA	1	50	es de diferente color.	es de diferente color.		big_orange_billiardball	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
XZtfg4k35HZQbAaKS	Spanish	feedback	color21	NA	NA	NA	NA	1	17	azul	azul		big_blue_butterfly	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
XZtfg4k35HZQbAaKS	Spanish	feedback	color21	NA	NA	NA	NA	1	46	rojo	rojo		small_red_tack	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
5uPb46X29k7aKpKos	Spanish	feedback	color21	NA	NA	NA	NA	1	25	diferente color	diferente color		big_red_bike	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
5uPb46X29k7aKpKos	Spanish	feedback	color21	NA	NA	NA	NA	1	39	diferente color	diferente color		small_yellow_balloon	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
6548bWiJoGcuX59Zp	Spanish	feedback	color21	NA	NA	NA	NA	1	41	azul	azul		small_blue_toothbrush	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
6548bWiJoGcuX59Zp	Spanish	feedback	color21	NA	NA	NA	NA	1	71	morado	morado		big_purple_bracelet	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
MvesSZxmNwRWxpMDF	Spanish	feedback	color21	NA	NA	NA	NA	1	45	marron	marron		big_tan_rock	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
MvesSZxmNwRWxpMDF	Spanish	feedback	color21	NA	NA	NA	NA	1	51	vela rosa	vela rosa		big_red_candle	1	NC			TRUE	FALSE	TRUE	TRUE	TRUE
RcCbHw4ML3ei95SZP	Spanish	feedback	color21	NA	NA	NA	NA	2	18	uno de los dos grandes...	uno de los dos grandes...		big_purple_bracelet	0	A	????		FALSE	TRUE	FALSE	TRUE	TRUE
RcCbHw4ML3ei95SZP	Spanish	feedback	color21	NA	NA	NA	NA	2	29	tamaño medio, hay uno mas grande y otro mas pequeño... nada diferenciador en este caso	tamaño medio, hay uno mas grande y otro mas pequeño... nada diferenciador en este caso		big_purple_hairdryer	0	S			FALSE	TRUE	FALSE	TRUE	FALSE
Cisj4o5sAv9g8rbmS	Spanish	feedback	color21	NA	NA	NA	NA	1	17	color azul	color azul		small_blue_book	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
Cisj4o5sAv9g8rbmS	Spanish	feedback	color21	NA	NA	NA	NA	1	54	verde	verde		small_green_framee	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
rh7GW6WH2awWyB4Kx	Spanish	feedback	color21	NA	NA	NA	NA	1	6	morado	morado		big_purple_flower	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
rh7GW6WH2awWyB4Kx	Spanish	feedback	color21	NA	NA	NA	NA	1	30	roja	roja		small_red_bike	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
oPMCjJ3aFSj92CzNA	Spanish	feedback	color21	NA	NA	NA	NA	1	28	bicicleta roja	bicicleta roja		big_red_bike	1	NC			TRUE	FALSE	TRUE	TRUE	FALSE
oPMCjJ3aFSj92CzNA	Spanish	feedback	color21	NA	NA	NA	NA	1	53	la café	la café		small_brown_jacket	1	AC			FALSE	FALSE	FALSE	TRUE	TRUE
bDqu8DtgmaBkuLzTC	Spanish	feedback	color21	NA	NA	NA	NA	1	6	es la de diferente color	es la de diferente color		small_purple_yarn	1	A	bleached color		FALSE	FALSE	FALSE	TRUE	TRUE
bDqu8DtgmaBkuLzTC	Spanish	feedback	color21	NA	NA	NA	NA	1	69	es diferente	es diferente		small_orange_coathanger	1		bleached contrast		FALSE	FALSE	FALSE	TRUE	FALSE
6NunwfhDpBsQMdZXp	Spanish	feedback	color21	NA	NA	NA	NA	1	9	verde	verde		small_green_bracelet	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
6NunwfhDpBsQMdZXp	Spanish	feedback	color21	NA	NA	NA	NA	1	33	distinto color	distinto color		small_blue_tack	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
S4kr4v62hXL4LYC7D	Spanish	feedback	color21	NA	NA	NA	NA	1	12	pink again	pink again		big_pink_weddingcake	1		ENGLISH		FALSE	FALSE	FALSE	TRUE	FALSE
S4kr4v62hXL4LYC7D	Spanish	feedback	color21	NA	NA	NA	NA	1	61	blue	blue		small_blue_toothbrush	1		ENGLISH		FALSE	FALSE	FALSE	TRUE	FALSE
bYnFuaH8d9Dkp54C5	Spanish	feedback	color21	NA	NA	NA	NA	1	11	sí	sí	es blanco ?	big_white_weddingcake	1		GUESSER-RESPONSE		FALSE	FALSE	FALSE	TRUE	FALSE
bYnFuaH8d9Dkp54C5	Spanish	feedback	color21	NA	NA	NA	NA	1	53	no__si	no	es grande ?__es rojo ?	small_red_bellpepper	1		GUESSER-RESPONSE		FALSE	FALSE	FALSE	TRUE	FALSE
jbp9GcgfoE26diyWb	Spanish	feedback	color21	NA	NA	NA	NA	1	14	sillon rojo	sillon rojo		small_red_chair	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
jbp9GcgfoE26diyWb	Spanish	feedback	color21	NA	NA	NA	NA	1	72	el blanco	el blanco		big_white_weddingcake	1	AC			TRUE	FALSE	FALSE	TRUE	TRUE
2PA2eTW2JBioGPq2S	Spanish	feedback	color21	NA	NA	NA	NA	1	9	purpura	purpura		big_purple_hairdryer	1	C			FALSE	FALSE	FALSE	TRUE	FALSE
2PA2eTW2JBioGPq2S	Spanish	feedback	color21	NA	NA	NA	NA	1	67	rojo	rojo		big_red_candle	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
QC9QPrwjj6RsY6hks	Spanish	feedback	color21	NA	NA	NA	NA	1	22	el gorro azul	el gorro azul		big_blue_cap	1	ANC			TRUE	FALSE	FALSE	TRUE	TRUE
QC9QPrwjj6RsY6hks	Spanish	feedback	color21	NA	NA	NA	NA	1	64	blanco	blanco		small_white_shoe	1	C			TRUE	FALSE	FALSE	TRUE	TRUE
aSJ3S2g3n7c5XYeuq	Spanish	feedback	color21	NA	NA	NA	NA	1	31	different color/color diferente	different color/color diferente		big_white_teacup	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
aSJ3S2g3n7c5XYeuq	Spanish	feedback	color21	NA	NA	NA	NA	1	67	c__color different	c		big_orange_cushion	1		bleached contrast		FALSE	FALSE	FALSE	TRUE	FALSE
SZ8Bs9kQ4wkYwTsFm	Spanish	feedback	color21	NA	NA	NA	NA	1	10	es el diferente	es el diferente	mas pequeño?	big_red_toothbrush	1	A	bleached contrast		FALSE	FALSE	FALSE	TRUE	TRUE
SZ8Bs9kQ4wkYwTsFm	Spanish	feedback	color21	NA	NA	NA	NA	1	63	gris	gris		big_grey_rock	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
ZeAdhLHahHwqnn9MG	Spanish	feedback	color21	NA	NA	NA	NA	1	6	pelota naranja	pelota naranja		small_orange_pingpongball	1	NC			TRUE	FALSE	TRUE	TRUE	TRUE
ZeAdhLHahHwqnn9MG	Spanish	feedback	color21	NA	NA	NA	NA	1	35	rosa	rosa		small_pink_framee	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
3j4nmgjGw5svrxehe	Spanish	feedback	color21	NA	NA	NA	NA	1	33	azul	azul		big_blue_scarf	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
3j4nmgjGw5svrxehe	Spanish	feedback	color21	NA	NA	NA	NA	1	60	vela azul	vela azul		small_blue_candle	1	NC			TRUE	FALSE	TRUE	TRUE	TRUE
yzi4tHBHqvsoo3nn5	Spanish	feedback	color21	NA	NA	NA	NA	1	34	gorra naranja	gorra naranja		small_orange_cap	1	NC			TRUE	FALSE	TRUE	TRUE	FALSE
yzi4tHBHqvsoo3nn5	Spanish	feedback	color21	NA	NA	NA	NA	1	66	bufanda azul	bufanda azul		small_blue_scarf	1	NC			TRUE	FALSE	TRUE	TRUE	FALSE
g7vxxhW2jevjbHBv8	Spanish	feedback	color21	NA	NA	NA	NA	1	10	es naranja__rojo	es naranja	naranja o rojo?	small_red_bellpepper	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
g7vxxhW2jevjbHBv8	Spanish	feedback	color21	NA	NA	NA	NA	1	40	es el de color más brillante	es el de color más brillante	?	big_yellow_napkin	1	A	bleached color		FALSE	FALSE	FALSE	TRUE	TRUE
woScH39WSn3r8vT9s	Spanish	feedback	color21	NA	NA	NA	NA	1	54	el color rosa	el color rosa		big_pink_phone	1	AC			TRUE	FALSE	FALSE	TRUE	TRUE
woScH39WSn3r8vT9s	Spanish	feedback	color21	NA	NA	NA	NA	1	63	de color rosa	de color rosa		small_pink_balloon	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
6ghf7bahMwk2Gum9F	Spanish	feedback	color21	NA	NA	NA	NA	1	14	rojo	rojo	lo bueno que no soy daltonico jaja ok	big_red_flower	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
6ghf7bahMwk2Gum9F	Spanish	feedback	color21	NA	NA	NA	NA	1	67	rojo	rojo		small_red_scarf	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
7byBpzzTrLBTrRaSW	Spanish	feedback	color21	NA	NA	NA	NA	1	11	diferente	diferente		small_green_jacket	1		bleached contrsast		FALSE	FALSE	FALSE	TRUE	FALSE
7byBpzzTrLBTrRaSW	Spanish	feedback	color21	NA	NA	NA	NA	1	56	diferente	diferente		small_orange_billiardball	1		bleached contrsast		FALSE	FALSE	FALSE	TRUE	FALSE
Ndey5riTwZPPn8eqi	Spanish	feedback	color21	NA	NA	NA	NA	1	34	sí	sí	naranja?	big_orange_coathanger	1		GUESSER-RESPONSE		FALSE	FALSE	FALSE	TRUE	FALSE
Ndey5riTwZPPn8eqi	Spanish	feedback	color21	NA	NA	NA	NA	1	63	sí	sí	naranja?	small_orange_cushion	1		GUESSER-RESPONSE		FALSE	FALSE	FALSE	TRUE	FALSE
e85bNvHjAANCEpjwF	Spanish	feedback	color21	NA	NA	NA	NA	1	43	diferente color	diferente color		big_yellow_balloon	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
e85bNvHjAANCEpjwF	Spanish	feedback	color21	NA	NA	NA	NA	1	59	diferente	diferente		small_red_yarn	1		bleached contrast		FALSE	FALSE	FALSE	TRUE	FALSE
BnA3FeomaYQsW7WNG	Spanish	feedback	color21	NA	NA	NA	NA	1	21	rosa	rosa		big_pink_framee	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
BnA3FeomaYQsW7WNG	Spanish	feedback	color21	NA	NA	NA	NA	1	62	rosa	rosa		big_purple_bracelet	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
GZ4Bi32LYs5JLP3dn	Spanish	feedback	color21	NA	NA	NA	NA	1	16	blanco	blanco		big_white_phone	1	C			TRUE	FALSE	FALSE	TRUE	TRUE
GZ4Bi32LYs5JLP3dn	Spanish	feedback	color21	NA	NA	NA	NA	1	70	azul	azul		small_blue_comb	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
GetM4rtofxHS3ga5m	Spanish	feedback	color21	NA	NA	NA	NA	1	52	el pimiento verde	el pimiento verde		big_green_pepper	1	ANC			TRUE	FALSE	TRUE	TRUE	TRUE
GetM4rtofxHS3ga5m	Spanish	feedback	color21	NA	NA	NA	NA	1	58	la vela roja	la vela roja		big_red_candle	1	ANC			TRUE	FALSE	TRUE	TRUE	TRUE
z7BQy72TNHyrXNdby	Spanish	feedback	color21	NA	NA	NA	NA	1	24	el morado	el morado		small_purple_coathanger	1	AC			TRUE	FALSE	FALSE	TRUE	TRUE
z7BQy72TNHyrXNdby	Spanish	feedback	color21	NA	NA	NA	NA	1	71	el amarillo	el amarillo		small_yellow_shoe	1	AC			TRUE	FALSE	FALSE	TRUE	TRUE
5iXGA8yrtbLNsFb8x	Spanish	feedback	color21	NA	NA	NA	NA	1	4	es color agua	es color agua		big_blue_scarf	1		bleaced color		FALSE	FALSE	FALSE	TRUE	FALSE
5iXGA8yrtbLNsFb8x	Spanish	feedback	color21	NA	NA	NA	NA	1	17	el de color diferente	el de color diferente		big_purple_coathanger	1	A	bleaced color		FALSE	FALSE	FALSE	TRUE	TRUE
i9kH9EnohLzqAaboq	Spanish	feedback	color22	NA	NA	NA	NA	1	2	es diferente.	es diferente.		small_purple_flower	1		bleaced color		FALSE	FALSE	FALSE	TRUE	FALSE
i9kH9EnohLzqAaboq	Spanish	feedback	color22	NA	NA	NA	NA	1	14	es de otro color.	es de otro color.		big_pink_phone	1				FALSE	FALSE	FALSE	TRUE	FALSE
XZtfg4k35HZQbAaKS	Spanish	feedback	color22	NA	NA	NA	NA	1	34	amarillo	amarillo		big_yellow_bellpepper	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
XZtfg4k35HZQbAaKS	Spanish	feedback	color22	NA	NA	NA	NA	1	36	rosa	rosa		big_pink_hairdryer	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
5uPb46X29k7aKpKos	Spanish	feedback	color22	NA	NA	NA	NA	1	48	diferente color	diferente color		small_purple_coathanger	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
5uPb46X29k7aKpKos	Spanish	feedback	color22	NA	NA	NA	NA	1	51	diferente color	diferente color		small_purple_stapler	1		bleached color		FALSE	FALSE	FALSE	TRUE	FALSE
6548bWiJoGcuX59Zp	Spanish	feedback	color22	NA	NA	NA	NA	1	31	verde	verde		big_green_pepper	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
6548bWiJoGcuX59Zp	Spanish	feedback	color22	NA	NA	NA	NA	1	46	morado	morado		small_blue_candle	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
MvesSZxmNwRWxpMDF	Spanish	feedback	color22	NA	NA	NA	NA	1	39	amarillo	amarillo		big_yellow_napkin	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
MvesSZxmNwRWxpMDF	Spanish	feedback	color22	NA	NA	NA	NA	1	55	azul	azul		big_blue_scarf	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
RcCbHw4ML3ei95SZP	Spanish	feedback	color22	NA	NA	NA	NA	1	39	el mas pequeño, 2 son iguales__33%__verde	el mas pequeño, 2 son iguales	color diferente?	big_green_framee	1	ASC	superlative		FALSE	TRUE	FALSE	TRUE	TRUE
RcCbHw4ML3ei95SZP	Spanish	feedback	color22	NA	NA	NA	NA	1	62	la mas pequeña de las 3, rosa	la mas pequeña de las 3, rosa		big_pink_weddingcake	1	ASAC	superlative		TRUE	TRUE	FALSE	TRUE	TRUE
Cisj4o5sAv9g8rbmS	Spanish	feedback	color22	NA	NA	NA	NA	1	15	color azul	color azul		big_blue_rug	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
Cisj4o5sAv9g8rbmS	Spanish	feedback	color22	NA	NA	NA	NA	1	28	azul	azul		small_blue_cushion	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
rh7GW6WH2awWyB4Kx	Spanish	feedback	color22	NA	NA	NA	NA	1	17	verde	verde		small_green_guitar	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
rh7GW6WH2awWyB4Kx	Spanish	feedback	color22	NA	NA	NA	NA	1	48	rojo	rojo		small_red_pepper	1	C			TRUE	FALSE	FALSE	TRUE	FALSE
oPMCjJ3aFSj92CzNA	Spanish	feedback	color22	NA	NA	NA	NA	1	24	el morado	el morado		small_purple_hairdryer	1	AC			TRUE	FALSE	FALSE	TRUE	TRUE
oPMCjJ3aFSj92CzNA	Spanish	feedback	color22	NA	NA	NA	NA	1	43	pastel blanco	pastel blanco		small_white_weddingcake	1	NC			TRUE	FALSE	TRUE	TRUE	TRUE
bDqu8DtgmaBkuLzTC	Spanish	feedback	color22	NA	NA	NA	NA	1	46	es mas intenso el color	es mas intenso el color		small_red_toothbrush	1	A	bleached color		FALSE	FALSE	FALSE	TRUE	TRUE
